timestamp,value,Games,Wins
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_Rintaro,398,172
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_ShieldBreaker,261,110
2025-09-16T00:00:00.000Z,Fours_Silver_Style_Rintaro,325,200
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Asahi,56,33
2025-09-16T00:00:00.000Z,Threes_Pro_Ability_RedirectionJump,43,38
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Twin1,44,26
2025-09-16T00:00:00.000Z,Threes_Pro_Ability_ShieldBreaker,84,71
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_ZeroGravitySet,45,21
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Morisuke,62,24
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Kenma,144,58
2025-09-16T00:00:00.000Z,Fours_Silver_Style_Hirugami,32,14
2025-09-16T00:00:00.000Z,Fours_Silver_Ability_SteelBlock,254,126
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_SteelBlock,420,170
2025-09-16T00:00:00.000Z,Fours_Silver_Style_Kotaru,69,23
2025-09-16T00:00:00.000Z,Fours_Silver_Style_Twin2,31,17
2025-09-16T00:00:00.000Z,Fours_Silver_Ability_RedirectionJump,82,40
2025-09-16T00:00:00.000Z,Fours_Silver_Ability_ZeroGravitySet,81,31
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_Tetsuro,47,8
2025-09-16T00:00:00.000Z,Fours_Silver_Ability_BoomJump,149,80
2025-09-16T00:00:00.000Z,Fours_Silver_Style_Toru,20,10
2025-09-16T00:00:00.000Z,Fours_Silver_Ability_TeamSpirit,42,12
2025-09-16T00:00:00.000Z,Fours_Silver_Style_TimeskipTobio2,217,116
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Koshi,20,8
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Kenma,37,13
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Twin1,62,30
2025-09-16T00:00:00.000Z,Threes_Gold_Style_TimeskipShoyo,50,33
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Kei,148,55
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Yu,19,10
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Ryunosuke,100,34
2025-09-16T00:00:00.000Z,Twos_Pro_Style_Twin1,90,54
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Shoyo,47,16
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Asahi,100,48
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Kei,36,9
2025-09-16T00:00:00.000Z,Twos_Diamond_Ability_ZeroGravitySet,97,50
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_TimeskipTobio,57,23
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Twin2,155,85
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Wakatoshi,152,94
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_Yu,17,5
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_Hirugami,68,23
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_TeamSpirit,86,28
2025-09-16T00:00:00.000Z,Fours_Silver_Style_Wakatoshi,35,14
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_Kimiro,108,41
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_Wakatoshi,145,38
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_CurveSpike,192,61
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Twin2,95,53
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_TimeskipShoyo,78,47
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Lev,9,2
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Yu,27,11
2025-09-16T00:00:00.000Z,Twos_Pro_Ability_DivineStrength,11,5
2025-09-16T00:00:00.000Z,Twos_Diamond_Ability_RollingThunder,45,22
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Ohira,3,2
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_TimeskipToru,87,54
2025-09-16T00:00:00.000Z,Twos_Pro_Style_Twin2,44,33
2025-09-16T00:00:00.000Z,Twos_Pro_Ability_SteelBlock,155,91
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Kazana,34,14
2025-09-16T00:00:00.000Z,Twos_Pro_Style_TimeskipTobio,19,10
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Toru,5,1
2025-09-16T00:00:00.000Z,Twos_Diamond_Ability_DivineStrength,67,43
2025-09-16T00:00:00.000Z,Twos_Pro_Ability_CurveSpike,36,12
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Morisuke,13,7
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Taketora,28,7
2025-09-16T00:00:00.000Z,Threes_Diamond_Style_Yogan,15,7
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Morisuke,3,1
2025-09-16T00:00:00.000Z,Threes_Diamond_Style_Kotaru,4,4
2025-09-16T00:00:00.000Z,Threes_Diamond_Ability_CurveSpike,36,21
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Shinsuke,42,17
2025-09-16T00:00:00.000Z,Threes_Pro_Style_TimeskipTobio,49,43
2025-09-16T00:00:00.000Z,Threes_Pro_Ability_SteelBlock,21,19
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Yu,85,22
2025-09-16T00:00:00.000Z,Fours_Silver_Style_TeamCaptain,33,19
2025-09-16T00:00:00.000Z,Fours_Silver_Style_TimeskipShoyo2,185,109
2025-09-16T00:00:00.000Z,Fours_Silver_Style_Tetsuro,8,2
2025-09-16T00:00:00.000Z,Fours_Silver_Style_Jester,112,62
